,Filter,Distance,0-35K,35K-60k,60K-100K,100K+
0,Discretionary,0 -1 mile,5.0398155909471924,3.830599865198832,2.9227557411273484,3.026634382566586
1,Discretionary,1 - 2 miles,9.000419111483653,7.3241968097056835,6.082115518441197,6.5375302663438255
2,Discretionary,2 - 5 miles,40.93671416596815,36.890586385082,31.454418928322898,29.79721549636804
3,Discretionary,5 - 10 miles,28.34241408214585,30.319029431588408,31.078636047320806,28.162832929782084
4,Discretionary,More than 10 miles,16.680637049455154,21.635587508425072,28.462073764787753,32.445520581113804
5,Eating Out,0 -1 mile,6.896551724137931,5.068623454273678,3.3497536945812803,3.987446926342994
6,Eating Out,1 - 2 miles,11.44961499832608,8.669656203288492,7.152709359605912,6.405759645560273
7,Eating Out,2 - 5 miles,38.634081017743554,35.874439461883405,31.80295566502463,30.496584825549196
8,Eating Out,5 - 10 miles,27.167726816203547,28.957738823209677,32.23645320197044,30.422743215802107
9,Eating Out,More than 10 miles,15.852025443588886,21.429542057344747,25.458128078817733,28.68746538674543
10,Escort,0 -1 mile,6.273649159981838,4.819085487077535,3.4773100054674684,3.2855108969444746
11,Escort,1 - 2 miles,10.715907370970184,9.57455268389662,7.337342810278841,7.1952688643084
12,Escort,2 - 5 miles,42.962009989405175,35.8727634194831,31.897211591033354,29.547694666520645
13,Escort,5 - 10 miles,26.804903889813836,29.20079522862823,31.689447785675235,31.68327674953455
14,Escort,More than 10 miles,13.24352958982897,20.532803180914513,25.598687807545105,28.28824882269193
15,Maintenance,0 -1 mile,4.717140921409214,3.3822537112010798,2.119358920286799,2.1223874165050636
16,Maintenance,1 - 2 miles,7.901422764227642,6.5283400809716605,5.567271193589203,5.365223012281835
17,Maintenance,2 - 5 miles,37.96578590785908,33.771929824561404,30.240404892450446,28.829993535875886
18,Maintenance,5 - 10 miles,32.79979674796748,35.28171390013495,36.7988190636862,35.94053005817712
19,Maintenance,More than 10 miles,16.615853658536587,21.035762483130902,25.274145929987345,27.741865977160096
20,School,0 -1 mile,4.891514916698954,5.977286312014345,5.193681021423934,5.646290247316846
21,School,1 - 2 miles,10.567609453700117,13.732815301852957,12.746158840077907,15.002333177788147
22,School,2 - 5 miles,33.22355676094537,35.833831440526005,34.602899805236966,34.0410639290714
23,School,5 - 10 miles,18.549012010848507,17.94680215182307,19.281540792036356,18.922071861875875
24,School,More than 10 miles,32.72956218519953,26.47937836222355,28.13243886604631,26.388240783947737
25,Shopping,0 -1 mile,6.384610023001325,4.8141299496269845,3.7049100236137127,3.4021052631578943
26,Shopping,1 - 2 miles,11.242768523036174,8.773831537333418,7.124826968487909,6.593684210526315
27,Shopping,2 - 5 miles,39.93866313515021,35.758464579480965,32.871915967755065,30.20631578947369
28,Shopping,5 - 10 miles,29.03742942775493,31.21214053433654,32.52178161387509,34.64421052631579
29,Shopping,More than 10 miles,13.396528891057363,19.44143339922209,23.77656542626822,25.14526315789474
30,University,0 -1 mile,2.582496413199426,1.0482180293501049,1.1918951132300357,0.7012622720897616
31,University,1 - 2 miles,6.097560975609756,1.6771488469601679,3.575685339690107,2.3842917251051894
32,University,2 - 5 miles,23.38593974175036,13.731656184486374,16.805721096543504,11.360448807854137
33,University,5 - 10 miles,24.67718794835007,28.82599580712788,26.579261025029798,27.769985974754558
34,University,More than 10 miles,43.25681492109039,54.71698113207547,51.84743742550656,57.784011220196355
35,Visiting,0 -1 mile,5.024618103774776,4.3555988948480415,2.9293381037567086,2.850877192982456
36,Visiting,1 - 2 miles,7.9661658881454365,7.622298065984073,6.820214669051879,5.482456140350877
37,Visiting,2 - 5 miles,36.43479358666835,29.985372988785958,25.64847942754919,24.000974658869396
38,Visiting,5 - 10 miles,27.458654210326976,27.872582480091012,28.533094812164578,28.07017543859649
39,Visiting,More than 10 miles,23.115768211084458,30.16414757029092,36.06887298747764,39.595516569200775
40,Work,0 -1 mile,4.59008906142955,3.7223440302969903,3.0581994070837886,3.1191398924865608
41,Work,1 - 2 miles,9.050772626931568,7.469603348614711,6.537681385551568,5.850731341417678
42,Work,2 - 5 miles,27.60904316053894,23.4153876818816,19.940708378842253,19.521190148768596
43,Work,5 - 10 miles,27.78412118444089,27.915088698425354,25.893275081916055,25.103137892236532
44,Work,More than 10 miles,30.965973966659057,37.477576240781346,44.57013574660634,46.405800725090636
45,Work-Based,0 -1 mile,6.020642201834862,4.501607717041801,3.8918918918918917,3.861788617886179
46,Work-Based,1 - 2 miles,7.970183486238532,4.894605216148625,3.2432432432432434,3.9126016260162597
47,Work-Based,2 - 5 miles,24.025229357798164,17.041800643086816,13.08108108108108,13.008130081300814
48,Work-Based,5 - 10 miles,27.75229357798165,28.01000357270454,27.027027027027028,27.38821138211382
49,Work-Based,More than 10 miles,34.231651376146786,45.55198285101822,52.756756756756765,51.829268292682926
