hh_id,person_id,tour_id,tour_category,tour_purpose,orig_maz,dest_maz,tour_mode
2133474,4246118,0,MANDATORY,work,361,20,Walk to premium transit
2133474,4246119,0,MANDATORY,work,361,16,Walk to premium transit
2133474,4246119,1,MANDATORY,work,361,16,Walk to premium transit
1765449,3122147,0,INDIVIDUAL_NON_MANDATORY,shop,1402,1450,Shared ride 2 free
1765449,3122147,1,INDIVIDUAL_NON_MANDATORY,maintenance,1402,1429,Drive alone free
1765449,3122147,2,INDIVIDUAL_NON_MANDATORY,visiting,1402,11223,Shared ride 2 free
1765449,3122148,0,INDIVIDUAL_NON_MANDATORY,shop,1402,1427,Drive alone free
2031579,3861321,0,INDIVIDUAL_NON_MANDATORY,discretionary,1908,6835,Shared ride 2 free
2031579,3861322,0,MANDATORY,work,1908,1798,Drive alone free
2031579,3861323,0,MANDATORY,school,1908,1630,Shared ride 3+ free
2031579,3861324,0,MANDATORY,school,1908,1614,Shared ride 3+ free
2031579,3861324,0,INDIVIDUAL_NON_MANDATORY,escort,1908,1830,Shared ride 3+ free
2849821,6011579,0,MANDATORY,school,7193,16793,School bus
2849821,6011579,1,MANDATORY,school,7193,16793,School bus
2849821,6011580,0,MANDATORY,school,7193,10823,School bus
3403558,8012649,0,INDIVIDUAL_NON_MANDATORY,maintenance,16760,16762,Shared ride 2 free
3403558,8012650,0,MANDATORY,work,16760,3441,Shared ride 2 free
3403558,8012651,0,MANDATORY,work,16760,16776,Shared ride 2 free
3403558,8012651,0,MANDATORY,school,16760,16765,Shared ride 2 free
